window_id,pl_fwd_count,pl_bwd_count,pl_len_fwd_total,pl_len_bwd_total,flow_fwd_count,flow_bwd_count,timestamp,label
57008426,[0. 0. 0. 0. 0. 8.],[0. 0. 0. 0. 0. 8.],[  0.   0.   0.   0.   0. 300.],[  0.   0.   0.   0.   0. 948.],[0. 0. 0. 0. 0. 4.],[0. 0. 0. 0. 0. 4.],2024-03-12 14:13:00,dns
57008427,[16.  0.  0.  0.  0.  0.],[16.  0.  0.  0.  0.  0.],[896.   0.   0.   0.   0.   0.],[2144.    0.    0.    0.    0.    0.],[8. 0. 0. 0. 0. 0.],[8. 0. 0. 0. 0. 0.],2024-03-12 14:13:30,dns
57008428,[16.  0.  0.  0.  0.  0.],[16.  0.  0.  0.  0.  0.],[680.   0.   0.   0.   0.   0.],[1608.    0.    0.    0.    0.    0.],[8. 0. 0. 0. 0. 0.],[8. 0. 0. 0. 0. 0.],2024-03-12 14:14:00,dns
57008785,[0. 0. 0. 2. 0. 0.],[0. 0. 0. 2. 0. 0.],[ 0.  0.  0. 63.  0.  0.],[  0.   0.   0. 213.   0.   0.],[0. 0. 0. 1. 0. 0.],[0. 0. 0. 1. 0. 0.],2024-03-12 17:12:30,dns
57008787,[ 0.  0.  0. 16.  0.  0.],[ 0.  0.  0. 16.  0.  0.],[  0.   0.   0. 632.   0.   0.],[   0.    0.    0. 1848.    0.    0.],[0. 0. 0. 8. 0. 0.],[0. 0. 0. 8. 0. 0.],2024-03-12 17:13:30,dns
57008790,[ 0.  0.  0.  0.  0. 16.],[ 0.  0.  0.  0.  0. 16.],[  0.   0.   0.   0.   0. 568.],[   0.    0.    0.    0.    0. 1432.],[0. 0. 0. 0. 0. 8.],[0. 0. 0. 0. 0. 8.],2024-03-12 17:15:00,dns
57008791,[ 0.  0.  0. 16.  0.  0.],[ 0.  0.  0. 16.  0.  0.],[  0.   0.   0. 568.   0.   0.],[   0.    0.    0. 1432.    0.    0.],[0. 0. 0. 8. 0. 0.],[0. 0. 0. 8. 0. 0.],2024-03-12 17:15:30,dns
57008676,[0. 2. 0. 0. 0. 0.],[0. 2. 0. 0. 0. 0.],[ 0. 63.  0.  0.  0.  0.],[  0. 213.   0.   0.   0.   0.],[0. 1. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],2024-03-12 16:18:00,dns
57008677,[0. 0. 0. 0. 8. 0.],[0. 0. 0. 0. 8. 0.],[  0.   0.   0.   0. 316.   0.],[  0.   0.   0.   0. 924.   0.],[0. 0. 0. 0. 4. 0.],[0. 0. 0. 0. 4. 0.],2024-03-12 16:18:30,dns
57008697,[2. 0. 0. 0. 0. 8.],[2. 0. 0. 0. 0. 8.],[ 63.   0.   0.   0.   0. 316.],[213.   0.   0.   0.   0. 924.],[1. 0. 0. 0. 0. 4.],[1. 0. 0. 0. 0. 4.],2024-03-12 16:28:30,dns
57008699,[ 0. 16.  0.  0.  0.  0.],[ 0. 16.  0.  0.  0.  0.],[  0. 584.   0.   0.   0.   0.],[   0. 1976.    0.    0.    0.    0.],[0. 8. 0. 0. 0. 0.],[0. 8. 0. 0. 0. 0.],2024-03-12 16:29:30,dns
57008840,[0. 0. 0. 0. 0. 2.],[0. 0. 0. 0. 0. 2.],[ 0.  0.  0.  0.  0. 63.],[  0.   0.   0.   0.   0. 213.],[0. 0. 0. 0. 0. 1.],[0. 0. 0. 0. 0. 1.],2024-03-12 17:40:00,dns
57008841,[ 0.  0.  1. 16.  0.  0.],[ 0.  0.  1. 16.  0.  0.],[  0.   0.  48. 632.   0.   0.],[   0.    0.  962. 1848.    0.    0.],[0. 0. 1. 8. 0. 0.],[0. 0. 1. 8. 0. 0.],2024-03-12 17:40:30,dns
57008718,[2. 0. 0. 0. 8. 0.],[2. 0. 0. 0. 8. 0.],[ 63.   0.   0.   0. 316.   0.],[213.   0.   0.   0. 924.   0.],[1. 0. 0. 0. 4. 0.],[1. 0. 0. 0. 4. 0.],2024-03-12 16:39:00,dns
57008751,[2. 0. 0. 0. 9. 1.],[2. 0. 0. 0. 9. 0.],[ 63.   0.   0.   0. 356.  40.],[ 213.    0.    0.    0. 1032.    0.],[1. 0. 0. 0. 5. 1.],[1. 0. 0. 0. 5. 1.],2024-03-12 16:55:30,dns
57008822,[0. 0. 0. 0. 2. 0.],[0. 0. 0. 0. 2. 0.],[ 0.  0.  0.  0. 63.  0.],[  0.   0.   0.   0. 213.   0.],[0. 0. 0. 0. 1. 0.],[0. 0. 0. 0. 1. 0.],2024-03-12 17:31:00,dns
57008823,[ 0.  0.  0. 20.  0.  0.],[ 0.  0.  0. 20.  0.  0.],[  0.   0.   0. 814.   0.   0.],[   0.    0.    0. 2234.    0.    0.],[ 0.  0.  0. 10.  0.  0.],[ 0.  0.  0. 10.  0.  0.],2024-03-12 17:31:30,dns
57008834,[2. 0. 0. 0. 0. 7.],[2. 0. 0. 0. 0. 7.],[ 63.   0.   0.   0.   0. 282.],[213.   0.   0.   0.   0. 814.],[1. 0. 0. 0. 0. 4.],[1. 0. 0. 0. 0. 4.],2024-03-12 17:37:00,dns
57008835,[3. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],[113.   0.   0.   0.   0.   0.],[110.   0.   0.   0.   0.   0.],[2. 0. 0. 0. 0. 0.],[2. 0. 0. 0. 0. 0.],2024-03-12 17:37:30,dns
57008836,[0. 8. 0. 0. 0. 0.],[0. 8. 0. 0. 0. 0.],[  0. 596.   0.   0.   0.   0.],[   0. 1196.    0.    0.    0.    0.],[0. 4. 0. 0. 0. 0.],[0. 4. 0. 0. 0. 0.],2024-03-12 17:38:00,dns
57008713,[0. 2. 0. 0. 0. 0.],[0. 2. 0. 0. 0. 0.],[ 0. 63.  0.  0.  0.  0.],[  0. 213.   0.   0.   0.   0.],[0. 1. 0. 0. 0. 0.],[0. 1. 0. 0. 0. 0.],2024-03-12 16:36:30,dns
57737197,[0. 0. 0. 3. 3. 0.],[0. 0. 0. 3. 0. 0.],[  0.   0.   0. 165. 165.   0.],[  0.   0.   0. 853.   0.   0.],[0. 0. 0. 3. 3. 0.],[0. 0. 0. 3. 3. 0.],2024-11-20 15:18:30,dns
57737275,[0. 0. 2. 2. 0. 0.],[0. 0. 2. 0. 0. 0.],[  0.   0. 104. 104.   0.   0.],[  0.   0. 462.   0.   0.   0.],[0. 0. 2. 2. 0. 0.],[0. 0. 2. 2. 0. 0.],2024-11-20 15:57:30,dns
57737239,[0. 0. 0. 0. 3. 3.],[0. 0. 0. 0. 3. 0.],[  0.   0.   0.   0. 156. 156.],[  0.   0.   0.   0. 709.   0.],[0. 0. 0. 0. 3. 3.],[0. 0. 0. 0. 3. 3.],2024-11-20 15:39:30,dns
57737285,[0. 0. 0. 1. 1. 0.],[0. 0. 0. 1. 0. 0.],[ 0.  0.  0. 52. 52.  0.],[  0.   0.   0. 249.   0.   0.],[0. 0. 0. 1. 1. 0.],[0. 0. 0. 1. 1. 0.],2024-11-20 16:02:30,dns
57737330,[0. 0. 0. 1. 1. 0.],[0. 0. 0. 1. 0. 0.],[ 0.  0.  0. 93. 93.  0.],[  0.   0.   0. 175.   0.   0.],[0. 0. 0. 1. 1. 0.],[0. 0. 0. 1. 1. 0.],2024-11-20 16:25:00,dns
57737297,[1. 1. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],[56. 56.  0.  0.  0.  0.],[117.   0.   0.   0.   0.   0.],[1. 1. 0. 0. 0. 0.],[1. 1. 0. 0. 0. 0.],2024-11-20 16:08:30,dns
