window_id,pl_fwd_count,pl_bwd_count,pl_len_fwd_total,pl_len_bwd_total,flow_fwd_count,flow_bwd_count,timestamp,label
57743358,[1542. 1488. 1468. 1469. 1510. 2268.],[1541. 1488. 1469. 1469. 1510. 2268.],[ 78303.  75521.  74511.  74521.  76606. 115146.],[147596. 142481. 140575. 140626. 144558. 217206.],[1515. 1468. 1443. 1449. 1486. 2214.],[1515. 1468. 1443. 1449. 1486. 2214.],2024-11-22 18:39:00,dns_attack
57743359,[1711. 2882. 1781. 1545. 1840. 2224.],[1711. 2881. 1781. 1545. 1840. 2224.],[ 86835. 146225.  90397.  78394.  93488. 112918.],[163830. 275819. 170542. 147919. 176198. 212908.],[1675. 2787. 1728. 1520. 1802. 2174.],[1675. 2787. 1728. 1520. 1802. 2174.],2024-11-22 18:39:30,dns_attack
57743360,[1451. 2222. 2183. 2302. 1522. 3301.],[1451. 2222. 2183. 2302. 1523. 3301.],[ 73659. 112779. 110792. 116807.  77272. 167434.],[138864. 212769. 209027. 220397. 145859. 315979.],[1429. 2154. 2133. 2236. 1497. 3164.],[1429. 2154. 2133. 2236. 1497. 3164.],2024-11-22 18:40:00,dns_attack
57743361,[2647. 1936. 1859.    5.    0.    0.],[2646. 1936. 1859.    5.    0.    0.],[134345.  98254.  94320.    253.      0.      0.],[253363. 185374. 177975.    478.      0.      0.],[2570. 1880. 1823.    5.    0.    0.],[2570. 1880. 1823.    5.    0.    0.],2024-11-22 18:40:30,dns_attack
57740307,[   0.    0.    0. 4614. 7485. 7500.],[   0.    0.    0. 4614. 7485. 7500.],[     0.      0.      0. 133806. 217065. 217500.],[      0.       0.       0. 2350343. 3812773. 3820174.],[0. 0. 0. 2. 3. 3.],[0. 0. 0. 2. 3. 3.],2024-11-21 17:13:30,dns_attack
57740308,[7500. 7500. 7501. 7500. 7500. 7500.],[7500. 7500. 7500. 7500. 7501. 7500.],[217500. 217500. 217529. 217500. 217500. 217500.],[3820812. 3820596. 3820355. 3820207. 3820975. 3820398.],[3. 3. 3. 3. 3. 3.],[3. 3. 3. 3. 3. 3.],2024-11-21 17:14:00,dns_attack
57740309,[7500. 7500. 7500. 7500. 7501. 7500.],[7500. 7500. 7500. 7500. 7500. 7500.],[217500. 217500. 217500. 217500. 217529. 217500.],[3820534. 3820302. 3820598. 3820605. 3820684. 3820582.],[3. 3. 3. 3. 3. 3.],[3. 3. 3. 3. 3. 3.],2024-11-21 17:14:30,dns_attack
57740310,[7500. 7500. 7500. 7500. 7500. 7501.],[7501. 7500. 7500. 7500. 7500. 7499.],[217500. 217500. 217500. 217500. 217500. 217529.],[3820235. 3820522. 3820412. 3820482. 3820107. 3819385.],[3. 3. 3. 3. 3. 3.],[3. 3. 3. 3. 3. 3.],2024-11-21 17:15:00,dns_attack
57740311,[7500. 7500. 7500. 7500. 7500. 7499.],[7501. 7500. 7500. 7500. 7500. 7500.],[217500. 217500. 217500. 217500. 217500. 217471.],[3820472. 3820177. 3820073. 3820370. 3819859. 3820527.],[3. 3. 3. 3. 3. 3.],[3. 3. 3. 3. 3. 3.],2024-11-21 17:15:30,dns_attack
57740312,[7500. 7501. 7500. 7500. 7500. 7500.],[7500. 7500. 7501. 7500. 7500. 7500.],[217500. 217529. 217500. 217500. 217500. 217500.],[3820081. 3820858. 3820748. 3820194. 3820506. 3820548.],[3. 3. 3. 3. 3. 3.],[3. 3. 3. 3. 3. 3.],2024-11-21 17:16:00,dns_attack
57740313,[7500. 7500. 7501. 7500. 7500. 7500.],[7500. 7500. 7500. 7501. 7500. 7500.],[217500. 217500. 217529. 217500. 217500. 217500.],[3820454. 3820096. 3820716. 3821030. 3820171. 3820718.],[3. 3. 3. 3. 3. 3.],[3. 3. 3. 3. 3. 3.],2024-11-21 17:16:30,dns_attack
57740314,[7500. 7500. 7500. 7501. 7500. 7500.],[7500. 7500. 7500. 7500. 7500. 7501.],[217500. 217500. 217500. 217529. 217500. 217500.],[3820438. 3820832. 3820271. 3820036. 3820174. 3820405.],[3. 3. 3. 3. 3. 3.],[3. 3. 3. 3. 3. 3.],2024-11-21 17:17:00,dns_attack
57740315,[7500. 7500. 7500. 7500. 7500. 7501.],[7500. 7500. 7500. 7500. 7500. 7500.],[217500. 217500. 217500. 217500. 217500. 217529.],[3820695. 3820332. 3820442. 3820977. 3820988. 3820419.],[3. 3. 3. 3. 3. 3.],[3. 3. 3. 3. 3. 3.],2024-11-21 17:17:30,dns_attack
57740316,[7500. 7500. 7500. 7500. 7500. 7500.],[7501. 7500. 7500. 7500. 7500. 7500.],[217500. 217500. 217500. 217500. 217500. 217500.],[3821115. 3820269. 3820757. 3819846. 3820430. 3820222.],[3. 3. 3. 3. 3. 3.],[3. 3. 3. 3. 3. 3.],2024-11-21 17:18:00,dns_attack
57740317,[7501. 7500. 7500. 2878.   16.    0.],[7500. 7501. 7500. 2878.   16.    0.],[217529. 217500. 217500.  83462.    464.      0.],[3820648. 3820721. 3820132. 1465924.    8129.       0.],[3. 3. 3. 3. 1. 0.],[3. 3. 3. 3. 1. 0.],2024-11-21 17:18:30,dns_attack
57700062,[   0.  750. 2750. 3250. 4600. 2350.],[   0.  750. 2750. 3250. 4600. 2350.],[     0.  29813. 109313. 129189. 182851.  93414.],[     0.  63563. 233063. 275439. 389851. 199164.],[0. 1. 3. 5. 8. 5.],[0. 1. 3. 5. 8. 5.],2024-11-07 17:51:00,dns_attack
57700063,[3350. 3700. 2500. 2950. 3000. 2700.],[3350. 3700. 2500. 2950. 3000. 2700.],[133164. 147076.  99376. 117264. 119251. 107326.],[283914. 313576. 211876. 250014. 254251. 228826.],[7. 7. 4. 7. 5. 6.],[7. 7. 4. 7. 5. 6.],2024-11-07 17:51:30,dns_attack
57700064,[5102. 3600. 2601. 3851. 2952. 2601.],[5100. 3600. 2600. 3850. 2950. 2600.],[202799. 143101. 103385. 153073. 117334. 103387.],[432227. 305101. 220351. 326289. 250014. 220351.],[10.  6.  6.  8.  9.  6.],[10.  6.  5.  7.  8.  6.],2024-11-07 17:52:00,dns_attack
57700065,[2351. 4351. 3600. 3950. 3851. 3601.],[2350. 4350. 3600. 3950. 3850. 3600.],[ 93449. 172950. 143101. 157014. 153075. 143138.],[199163. 368664. 305101. 334764. 326289. 305102.],[6. 8. 6. 8. 8. 8.],[6. 8. 6. 8. 8. 8.],2024-11-07 17:52:30,dns_attack
57700066,[3601. 3601. 2600. 2850. 4351. 3201.],[3600. 3600. 2600. 2850. 4350. 3200.],[143137. 143137. 103351. 113289. 172950. 127237.],[305101. 305101. 220351. 241539. 368664. 271201.],[7. 8. 5. 6. 8. 8.],[7. 8. 5. 6. 8. 8.],2024-11-07 17:53:00,dns_attack
57700067,[3351. 3101. 3200. 3350. 2451. 3351.],[3350. 3100. 3200. 3350. 2450. 3350.],[133200. 123263. 127201. 133164.  97424. 133200.],[283914. 262727. 271201. 283914. 207638. 283914.],[7. 8. 7. 6. 7. 7.],[7. 8. 7. 6. 7. 7.],2024-11-07 17:53:30,dns_attack
57700068,[2701. 3351. 3350. 3850. 2850. 2601.],[2700. 3350. 3350. 3850. 2850. 2600.],[107362. 133200. 133164. 153039. 113288. 103387.],[228826. 283914. 283914. 326289. 241538. 220351.],[7. 7. 7. 7. 5. 6.],[7. 7. 7. 7. 5. 6.],2024-11-07 17:54:00,dns_attack
57700069,[3601. 2950. 3700. 2600. 2600. 3850.],[3600. 2950. 3700. 2600. 2600. 3850.],[143137. 117264. 147077. 103351. 103351. 153039.],[305101. 250014. 313577. 220351. 220351. 326289.],[7. 7. 8. 5. 5. 7.],[7. 7. 8. 5. 5. 7.],2024-11-07 17:54:30,dns_attack
57700070,[3600. 4200. 3350. 2600. 3950. 3350.],[3600. 4200. 3350. 2600. 3950. 3350.],[143101. 166952. 133164. 103351. 157014. 133164.],[305101. 355952. 283914. 220351. 334764. 283914.],[6. 9. 6. 6. 8. 6.],[6. 9. 6. 6. 8. 6.],2024-11-07 17:55:00,dns_attack
